Water Flows,RAW WATER TURBIDITY (NTU),RO FEED TURBIDITY (NTU),RAW WATER TDS (MG/L),FINISHED WATER TURBIDITY (NTU),FINISHED WATER TDS (MG/L),Daily KWH,Daily COST
4.98,0.87,0.04,1300.0,0.28,129.2,15822.58064516129,1335.741935483871
4.95,0.87,0.14,1300.0,0.12,136.0,15822.58064516129,1335.741935483871
3.68,0.87,0.71,1300.0,0.17,131.2,15822.58064516129,1335.741935483871
4.99,0.87,0.55,1300.0,0.16,131.5,15822.58064516129,1335.741935483871
4.86,0.87,0.36,1300.0,0.16,127.4,15822.58064516129,1335.741935483871
4.87,0.87,0.09,1300.0,0.18,130.1,15822.58064516129,1335.741935483871
4.91,0.87,0.04,1300.0,0.17,130.4,15822.58064516129,1335.741935483871
4.75,0.87,0.07,1300.0,0.27,127.6,15822.58064516129,1335.741935483871
4.95,0.87,0.11,1300.0,0.19,132.1,15822.58064516129,1335.741935483871
4.72,0.87,0.04,1310.0,0.28,123.1,15822.58064516129,1335.741935483871
4.83,0.87,0.05,1310.0,0.13,130.0,15822.58064516129,1335.741935483871
4.96,0.87,0.04,1310.0,0.12,130.7,15822.58064516129,1335.741935483871
4.86,0.87,0.05,1310.0,0.18,126.2,15822.58064516129,1335.741935483871
4.98,0.87,0.04,1310.0,0.18,123.2,15822.58064516129,1335.741935483871
4.99,0.87,0.56,1310.0,0.18,126.4,15822.58064516129,1335.741935483871
4.94,0.87,0.04,1310.0,0.3,130.0,15822.58064516129,1335.741935483871
5.01,0.87,0.04,1400.0,0.22,128.0,15822.58064516129,1335.741935483871
5.01,0.87,0.04,1400.0,0.25,124.5,15822.58064516129,1335.741935483871
5.12,0.87,0.04,1400.0,0.18,129.6,15822.58064516129,1335.741935483871
4.41,0.87,0.9,1400.0,0.17,130.4,15822.58064516129,1335.741935483871
5.03,0.87,0.03,1400.0,0.16,128.0,15822.58064516129,1335.741935483871
4.91,0.87,0.03,1400.0,0.15,127.6,15822.58064516129,1335.741935483871
4.51,0.87,0.04,1400.0,0.25,127.8,15822.58064516129,1335.741935483871
5.03,0.87,0.02,1300.0,0.23,127.5,15822.58064516129,1335.741935483871
4.78,0.87,0.03,1300.0,0.14,130.0,15822.58064516129,1335.741935483871
2.98,0.87,2.69,1300.0,0.14,130.0,15822.58064516129,1335.741935483871
4.9,0.87,0.04,1300.0,0.04,123.9,15822.58064516129,1335.741935483871
4.0,0.87,0.19,1300.0,0.21,123.8,15822.58064516129,1335.741935483871
4.74,0.87,0.06,1300.0,0.21,125.0,15822.58064516129,1335.741935483871
4.93,0.87,0.04,1300.0,0.19,125.0,15822.58064516129,1335.741935483871
2.94,0.87,0.63,1300.0,0.18,124.1,15822.58064516129,1335.741935483871
4.55,0.87,0.19,1290.0,0.27,122.8,15857.142857142857,1483.25
4.94,0.87,0.04,1290.0,0.27,122.8,15857.142857142857,1483.25
4.59,0.87,0.07,1290.0,0.2,131.0,15857.142857142857,1483.25
4.76,0.87,0.04,1290.0,0.23,127.2,15857.142857142857,1483.25
4.68,0.87,0.08,1290.0,0.29,123.8,15857.142857142857,1483.25
4.97,0.87,0.11,1290.0,0.22,132.2,15857.142857142857,1483.25
4.97,0.87,0.03,1300.0,0.23,132.0,15857.142857142857,1483.25
4.97,0.87,0.22,1300.0,0.18,127.0,15857.142857142857,1483.25
4.08,0.87,0.79,1300.0,0.13,130.0,15857.142857142857,1483.25
4.12,0.87,1.2,1300.0,0.15,125.0,15857.142857142857,1483.25
5.0,0.87,0.03,1300.0,0.15,125.8,15857.142857142857,1483.25
5.03,0.87,0.03,1300.0,0.2,130.1,15857.142857142857,1483.25
5.0,0.87,0.03,1300.0,0.14,129.1,15857.142857142857,1483.25
0.88,0.87,2.83,1300.0,0.16,137.0,15857.142857142857,1483.25
4.0,0.87,1.94,1300.0,0.24,184.4,15857.142857142857,1483.25
4.97,0.87,0.06,1300.0,0.2,121.1,15857.142857142857,1483.25
5.9,0.87,0.04,1300.0,0.31,126.2,15857.142857142857,1483.25
5.16,0.87,2.66,1300.0,0.31,126.2,15857.142857142857,1483.25
4.23,0.87,1.73,1300.0,0.25,127.4,15857.142857142857,1483.25
0.84,0.87,2.3,1300.0,0.25,127.4,15857.142857142857,1483.25
6.18,0.87,0.11,1310.0,0.14,132.4,15857.142857142857,1483.25
6.98,0.87,0.03,1310.0,0.19,131.7,15857.142857142857,1483.25
7.89,0.87,0.33,1310.0,0.2,131.7,15857.142857142857,1483.25
4.94,0.87,1.83,1310.0,0.3,125.6,15857.142857142857,1483.25
6.42,0.87,0.48,1310.0,0.23,128.6,15857.142857142857,1483.25
7.22,0.87,0.09,1310.0,0.17,127.3,15857.142857142857,1483.25
7.17,0.87,0.09,1310.0,0.17,129.5,15857.142857142857,1483.25
8.79,0.87,0.08,1310.0,0.44,130.5,15857.142857142857,1483.25
9.94,0.87,0.06,1310.0,0.26,133.3,14758.064516129032,1376.548387096774
7.87,0.87,0.08,1310.0,0.13,128.3,14758.064516129032,1376.548387096774
6.44,0.87,0.04,1310.0,0.22,140.6,14758.064516129032,1376.548387096774
4.99,0.87,0.03,1310.0,0.17,128.0,14758.064516129032,1376.548387096774
6.27,0.87,0.04,1310.0,0.23,130.6,14758.064516129032,1376.548387096774
3.5,0.87,5.4,1310.0,0.23,130.6,14758.064516129032,1376.548387096774
0.0,0.87,7.23,1310.0,0.23,130.6,14758.064516129032,1376.548387096774
2.06,0.87,6.97,1310.0,0.16,131.0,14758.064516129032,1376.548387096774
4.72,0.87,0.3,1310.0,0.16,131.0,14758.064516129032,1376.548387096774
0.0,0.87,1.31,1310.0,0.16,131.0,14758.064516129032,1376.548387096774
1.08,0.87,1.3,1310.0,0.16,131.0,14758.064516129032,1376.548387096774
0.01,0.87,1.37,1310.0,0.16,131.0,14758.064516129032,1376.548387096774
0.58,0.87,2.57,1310.0,0.14,122.0,14758.064516129032,1376.548387096774
1.44,0.87,3.7,1310.0,0.17,132.2,14758.064516129032,1376.548387096774
4.66,0.87,0.26,1400.0,0.13,121.5,14758.064516129032,1376.548387096774
0.0,0.87,5.39,1400.0,0.13,121.5,14758.064516129032,1376.548387096774
0.0,0.87,5.21,1400.0,0.13,121.5,14758.064516129032,1376.548387096774
0.0,0.87,1.93,1400.0,0.13,121.5,14758.064516129032,1376.548387096774
0.0,0.87,1.06,1400.0,0.13,121.5,14758.064516129032,1376.548387096774
0.0,0.87,1.47,1400.0,0.13,121.5,14758.064516129032,1376.548387096774
0.0,0.87,1.16,1400.0,0.13,121.5,14758.064516129032,1376.548387096774
0.0,0.87,1.23,1400.0,0.13,121.5,14758.064516129032,1376.548387096774
0.4,0.87,1.52,1400.0,0.28,149.1,14758.064516129032,1376.548387096774
0.0,0.87,0.62,1400.0,0.28,149.1,14758.064516129032,1376.548387096774
0.0,0.87,1.04,1400.0,0.28,149.1,14758.064516129032,1376.548387096774
0.0,0.87,1.5,1400.0,0.28,149.1,14758.064516129032,1376.548387096774
0.0,0.87,4.4,1400.0,0.28,149.1,14758.064516129032,1376.548387096774
0.0,0.87,3.76,1400.0,0.28,149.1,14758.064516129032,1376.548387096774
0.0,0.87,2.89,1400.0,0.28,149.1,14758.064516129032,1376.548387096774
0.0,0.87,3.22,1400.0,0.28,149.1,14758.064516129032,1376.548387096774
0.0,0.87,0.7,1400.0,0.28,149.1,14758.064516129032,1376.548387096774
0.0,0.87,1.87,1400.0,0.28,149.1,11050.0,1120.4
0.0,0.87,2.65,1400.0,0.28,149.1,11050.0,1120.4
2.44,0.87,2.7,1400.0,0.1,118.5,11050.0,1120.4
5.03,0.87,0.08,1370.0,0.05,123.6,11050.0,1120.4
5.03,0.87,0.05,1370.0,0.14,124.3,11050.0,1120.4
4.73,0.78,0.11,1370.0,0.13,126.4,11050.0,1120.4
5.04,0.78,0.06,1370.0,0.11,124.5,11050.0,1120.4
5.04,0.78,1.1,1370.0,0.15,125.7,11050.0,1120.4
4.72,0.78,0.07,1370.0,0.11,126.7,11050.0,1120.4
5.04,0.78,0.07,1370.0,0.11,124.0,11050.0,1120.4
4.63,0.4,0.12,1390.0,0.15,124.1,11050.0,1120.4
2.71,0.3,2.27,1390.0,0.13,117.7,11050.0,1120.4
4.93,0.3,0.05,1390.0,0.05,169.3,11050.0,1120.4
4.5,0.3,0.03,1390.0,0.04,143.4,11050.0,1120.4
5.13,0.3,0.04,1390.0,0.04,146.8,11050.0,1120.4
3.93,0.3,0.38,1390.0,0.12,210.8,11050.0,1120.4
0.48,0.3,0.84,1390.0,0.12,210.8,11050.0,1120.4
0.0,0.3,2.41,1390.0,0.12,210.8,11050.0,1120.4
3.32,0.3,0.91,1340.0,0.16,143.8,11050.0,1120.4
4.61,0.3,0.06,1340.0,0.13,159.5,11050.0,1120.4
5.03,0.3,0.07,1340.0,0.19,158.6,11050.0,1120.4
4.72,0.3,0.05,1340.0,0.06,158.3,11050.0,1120.4
5.05,0.3,0.04,1340.0,0.07,205.2,11050.0,1120.4
5.03,0.3,0.11,1340.0,0.08,156.6,11050.0,1120.4
4.79,0.3,0.18,1360.0,0.05,134.1,11050.0,1120.4
5.03,0.3,0.04,1360.0,0.14,131.6,11050.0,1120.4
4.7,0.3,0.93,1360.0,0.15,156.9,11050.0,1120.4
5.03,0.3,0.05,1360.0,0.16,153.8,11050.0,1120.4
4.18,0.3,0.12,1360.0,0.16,126.8,11050.0,1120.4
0.0,0.3,1.33,1360.0,0.16,126.8,11050.0,1120.4
0.0,0.3,2.51,1360.0,0.16,126.8,12435.483870967742,1198.1612903225807
0.75,0.3,3.98,1360.0,0.11,148.7,12435.483870967742,1198.1612903225807
4.75,0.3,0.73,1280.0,0.13,149.9,12435.483870967742,1198.1612903225807
5.0,0.3,0.06,1280.0,0.13,212.6,12435.483870967742,1198.1612903225807
0.17,0.3,1.32,1280.0,0.13,212.6,12435.483870967742,1198.1612903225807
0.35,0.3,3.35,1280.0,0.13,212.6,12435.483870967742,1198.1612903225807
0.0,0.3,3.99,1280.0,0.13,212.6,12435.483870967742,1198.1612903225807
0.0,0.3,3.35,1280.0,0.13,212.6,12435.483870967742,1198.1612903225807
4.52,0.3,0.51,1300.0,0.13,132.4,12435.483870967742,1198.1612903225807
5.07,0.3,0.14,1300.0,0.15,145.7,12435.483870967742,1198.1612903225807
4.8,0.3,0.17,1300.0,0.16,123.7,12435.483870967742,1198.1612903225807
5.02,0.3,0.17,1300.0,0.12,124.6,12435.483870967742,1198.1612903225807
2.16,0.3,3.66,1300.0,0.12,124.6,12435.483870967742,1198.1612903225807
2.97,0.3,4.36,1300.0,0.16,146.5,12435.483870967742,1198.1612903225807
4.67,0.3,0.32,1300.0,0.19,139.1,12435.483870967742,1198.1612903225807
5.03,0.3,0.19,1300.0,0.11,124.4,12435.483870967742,1198.1612903225807
5.06,0.3,0.8,1300.0,0.08,174.6,12435.483870967742,1198.1612903225807
5.05,0.3,0.18,1300.0,0.16,125.7,12435.483870967742,1198.1612903225807
5.79,0.3,0.18,1300.0,0.12,125.4,12435.483870967742,1198.1612903225807
7.22,0.3,0.21,1300.0,0.11,141.6,12435.483870967742,1198.1612903225807
3.76,0.3,2.76,1300.0,0.11,141.6,12435.483870967742,1198.1612903225807
0.0,0.3,1.33,1300.0,0.11,141.6,12435.483870967742,1198.1612903225807
0.0,0.3,2.43,1300.0,0.11,141.6,12435.483870967742,1198.1612903225807
0.78,0.3,1.61,1300.0,0.11,141.6,12435.483870967742,1198.1612903225807
6.97,0.3,0.11,1300.0,0.14,131.6,12435.483870967742,1198.1612903225807
7.16,0.3,0.05,1300.0,0.1,125.3,12435.483870967742,1198.1612903225807
7.29,0.3,0.2,1300.0,0.1,127.3,12435.483870967742,1198.1612903225807
6.22,0.3,0.31,1300.0,0.2,125.4,12435.483870967742,1198.1612903225807
0.04,0.3,3.39,1300.0,0.2,125.4,12435.483870967742,1198.1612903225807
1.75,0.3,0.7,1400.0,0.2,125.4,12435.483870967742,1198.1612903225807
0.11,0.3,2.86,1400.0,0.2,125.4,12435.483870967742,1198.1612903225807
2.3,0.3,0.44,1400.0,0.12,125.2,16700.0,1690.3
4.73,0.3,1.01,1400.0,0.19,204.5,16700.0,1690.3
5.04,0.3,0.03,1400.0,0.12,126.3,16700.0,1690.3
5.04,0.3,0.02,1400.0,0.12,126.0,16700.0,1690.3
4.74,0.3,0.04,1220.0,0.02,135.5,16700.0,1690.3
5.05,0.3,0.03,1360.0,0.11,123.0,16700.0,1690.3
5.2,0.3,0.04,1360.0,0.16,123.6,16700.0,1690.3
