Date,Energy Consumption,Water Flows
2017-01-01,153910.0,15.38
2017-01-02,153910.0,15.56
2017-01-03,153910.0,15.74
2017-01-04,153910.0,16.02
2017-01-05,153910.0,15.25
2017-01-06,153910.0,15.25
2017-01-07,153910.0,15.0
2017-01-08,153910.0,15.01
2017-01-09,153910.0,14.0
2017-01-10,153910.0,15.01
2017-01-11,153910.0,15.0
2017-01-12,153910.0,16.0
2017-01-13,153910.0,10.0
2017-01-14,153910.0,10.01
2017-01-15,153910.0,15.01
2017-01-16,153910.0,13.01
2017-01-17,153910.0,15.49
2017-01-18,153910.0,15.27
2017-01-19,153910.0,15.27
2017-01-20,153910.0,15.27
2017-01-21,153910.0,15.24
2017-01-22,153910.0,14.76
2017-01-23,153910.0,14.76
2017-01-24,153910.0,14.76
2017-01-25,153910.0,15.98
2017-01-26,153910.0,19.41
2017-01-27,153910.0,19.11
2017-01-28,153910.0,18.95
2017-01-29,153910.0,18.96
2017-01-30,153910.0,19.17
2017-02-01,182614.0,19.13
2017-02-02,182614.0,18.95
2017-02-03,182614.0,18.95
2017-02-04,182614.0,18.95
2017-02-05,182614.0,18.96
2017-02-06,182614.0,15.32
2017-02-07,182614.0,3.82
2017-02-08,182614.0,18.95
2017-02-09,182614.0,18.96
2017-02-10,182614.0,13.42
2017-02-11,182614.0,18.95
2017-02-12,182614.0,18.96
2017-02-13,182614.0,18.94
2017-02-14,182614.0,18.95
2017-02-15,182614.0,18.96
2017-02-16,182614.0,18.95
2017-02-17,182614.0,16.72
2017-02-18,182614.0,14.74
2017-02-19,182614.0,14.74
2017-02-20,182614.0,10.52
2017-02-21,182614.0,14.72
2017-02-22,182614.0,14.74
2017-02-23,182614.0,14.83
2017-02-24,182614.0,14.74
2017-02-25,182614.0,14.74
2017-02-26,182614.0,14.74
2017-02-27,182614.0,14.74
2017-02-28,182614.0,14.74
2017-03-01,134468.0,14.74
2017-03-02,134468.0,14.74
2017-03-03,134468.0,14.75
2017-03-04,134468.0,14.74
2017-03-05,134468.0,14.74
2017-03-06,134468.0,14.73
2017-03-07,134468.0,14.75
2017-03-08,134468.0,14.74
2017-03-09,134468.0,14.73
2017-03-10,134468.0,15.23
2017-03-11,134468.0,15.1
2017-03-12,134468.0,14.48
2017-03-13,134468.0,15.17
2017-03-14,134468.0,15.28
2017-03-15,134468.0,15.28
2017-03-16,134468.0,15.3
2017-03-17,134468.0,15.28
2017-03-18,134468.0,15.26
2017-03-19,134468.0,14.93
2017-03-20,134468.0,14.76
2017-03-21,134468.0,14.76
2017-03-22,134468.0,14.77
2017-03-23,134468.0,14.99
2017-03-24,134468.0,14.67
2017-03-25,134468.0,14.76
2017-03-26,134468.0,14.76
2017-03-27,134468.0,14.75
2017-03-28,134468.0,6.64
2017-03-29,134468.0,12.1
2017-03-30,134468.0,15.2
2017-03-31,134468.0,15.2
2017-04-01,142808.0,15.16
2017-04-02,142808.0,14.42
2017-04-03,142808.0,11.3
2017-04-04,142808.0,13.97
2017-04-05,142808.0,14.99
2017-04-06,142808.0,15.04
2017-04-07,142808.0,15.1
2017-04-08,142808.0,15.1
2017-04-09,142808.0,15.1
2017-04-10,142808.0,15.11
2017-04-11,142808.0,15.11
2017-04-12,142808.0,15.24
2017-04-13,142808.0,15.28
2017-04-14,142808.0,15.15
2017-04-15,142808.0,14.99
2017-04-16,142808.0,14.63
2017-04-17,142808.0,14.69
2017-04-18,142808.0,14.89
2017-04-19,142808.0,14.99
2017-04-20,142808.0,14.86
2017-04-21,142808.0,14.81
2017-04-22,142808.0,14.99
2017-04-23,142808.0,14.81
2017-04-24,142808.0,14.96
2017-04-25,142808.0,14.79
2017-04-26,142808.0,14.64
2017-04-27,142808.0,14.9
2017-04-28,142808.0,15.03
2017-04-29,142808.0,11.96
2017-04-30,142808.0,14.96
2017-05-01,151815.0,14.84
2017-05-02,151815.0,14.76
2017-05-03,151815.0,14.75
2017-05-04,151815.0,14.87
2017-05-05,151815.0,15.0
2017-05-06,151815.0,14.85
2017-05-07,151815.0,14.95
2017-05-08,151815.0,15.12
2017-05-09,151815.0,15.15
2017-05-10,151815.0,14.92
2017-05-11,151815.0,14.93
2017-05-12,151815.0,15.01
2017-05-13,151815.0,14.99
2017-05-14,151815.0,14.75
2017-05-15,151815.0,12.93
2017-05-16,151815.0,13.92
2017-05-17,151815.0,14.08
2017-05-18,151815.0,14.28
2017-05-19,151815.0,14.54
2017-05-20,151815.0,14.21
2017-05-21,151815.0,14.07
2017-05-22,151815.0,14.02
2017-05-23,151815.0,11.97
2017-05-24,151815.0,10.26
2017-05-25,151815.0,10.5
2017-05-26,151815.0,10.75
2017-05-27,151815.0,9.12
2017-05-28,151815.0,10.96
2017-05-29,151815.0,10.97
2017-06-01,27481.0,0.0
2017-06-02,27481.0,0.0
2017-06-03,27481.0,0.0
2017-06-04,27481.0,0.0
2017-06-05,27481.0,0.0
2017-06-06,27481.0,0.0
2017-06-07,27481.0,0.0
2017-06-08,27481.0,0.19
2017-06-09,27481.0,7.9
2017-06-10,27481.0,7.5
2017-06-11,27481.0,7.28
2017-06-12,27481.0,7.04
2017-06-13,27481.0,7.12
2017-06-14,27481.0,7.15
2017-06-15,27481.0,4.15
2017-06-16,27481.0,0.0
2017-06-17,27481.0,0.0
2017-06-18,27481.0,0.0
2017-06-19,27481.0,0.0
2017-06-20,27481.0,0.0
2017-06-21,27481.0,0.0
2017-06-22,27481.0,0.0
2017-06-23,27481.0,0.0
2017-06-24,27481.0,0.0
2017-06-25,27481.0,0.0
2017-06-26,0.0,0.0
2017-06-27,0.0,0.0
2017-06-28,0.0,0.0
2017-06-29,0.0,0.0
2017-06-30,0.0,0.0
2017-10-01,0.0,0.0
2017-10-02,0.0,0.0
2017-10-03,0.0,0.0
2017-10-04,0.0,0.0
2017-10-05,0.0,0.0
2017-10-06,0.0,0.0
2017-10-07,0.0,0.0
2017-10-08,0.0,0.0
2017-10-09,0.0,0.0
2017-10-10,0.0,0.0
2017-10-11,0.0,0.0
2017-10-12,0.0,0.0
2017-10-13,0.0,0.0
2017-10-14,0.0,0.0
2017-10-15,0.0,0.0
2017-10-16,0.0,0.0
2017-10-17,0.0,0.0
2017-10-18,0.0,0.0
2017-10-19,0.0,0.0
2017-10-20,0.0,0.0
2017-10-21,0.0,0.0
2017-10-22,0.0,0.0
2017-10-23,0.0,0.0
2017-10-24,0.0,0.0
2017-10-25,0.0,0.0
