Month,Day,Year,"Daily Total, Kwh","TotalTreated water leaving plant,MG",Date
May,3,2021,,12.8574,2021-05-03
May,4,2021,165360.0588235294,,2021-05-04
May,5,2021,10064.058823529413,,2021-05-05
May,6,2021,9328.058823529413,,2021-05-06
May,7,2021,8336.058823529413,,2021-05-07
May,8,2021,7856.058823529413,,2021-05-08
May,9,2021,7552.058823529413,,2021-05-09
May,10,2021,7600.058823529413,,2021-05-10
May,11,2021,13024.058823529413,,2021-05-11
May,12,2021,28960.058823529413,,2021-05-12
May,13,2021,25616.058823529413,,2021-05-13
May,14,2021,42784.05882352941,,2021-05-14
May,15,2021,22432.058823529413,,2021-05-15
May,16,2021,48768.05882352941,,2021-05-16
May,17,2021,46960.05882352941,,2021-05-17
May,18,2021,25328.058823529413,,2021-05-18
May,19,2021,4512.058823529413,,2021-05-19
May,20,2021,25312.058823529413,,2021-05-20
May,21,2021,5632.058823529413,,2021-05-21
May,22,2021,880.0588235294126,,2021-05-22
May,23,2021,1920.0588235294126,,2021-05-23
May,24,2021,1984.0588235294126,,2021-05-24
May,25,2021,512.0588235294126,,2021-05-25
May,26,2021,-559.9411764705874,,2021-05-26
May,27,2021,-511.9411764705874,,2021-05-27
May,28,2021,-783.9411764705874,,2021-05-28
May,29,2021,-751.9411764705874,,2021-05-29
May,30,2021,-783.9411764705874,,2021-05-30
May,31,2021,-895.9411764705874,,2021-05-31
June,1,2021,-1471.9411764705874,0.0,2021-06-01
June,2,2021,0.0588235294126207,0.0,2021-06-02
June,3,2021,-159.94117647058738,0.0,2021-06-03
June,4,2021,-1375.9411764705874,0.0,2021-06-04
June,5,2021,-671.9411764705874,0.0,2021-06-05
June,6,2021,224.05882352941262,0.0,2021-06-06
June,7,2021,432.0588235294126,0.0,2021-06-07
June,8,2021,688.0588235294126,0.0,2021-06-08
June,9,2021,912.0588235294126,0.0,2021-06-09
June,10,2021,816.0588235294126,0.0,2021-06-10
June,11,2021,976.0588235294126,0.0,2021-06-11
June,12,2021,1232.0588235294126,0.0,2021-06-12
