Date,Energy Consumption
2021-05-03,"180,112"
2021-05-04,"180,112"
2021-05-05,"24,816"
2021-05-06,"24,080"
2021-05-07,"23,088"
2021-05-08,"22,608"
2021-05-09,"22,304"
2021-05-10,"22,352"
2021-05-11,"27,776"
2021-05-12,"43,712"
2021-05-13,"40,368"
2021-05-14,"57,536"
2021-05-15,"37,184"
2021-05-16,"63,520"
2021-05-17,"61,712"
2021-05-18,"40,080"
2021-05-19,"19,264"
2021-05-20,"40,064"
2021-05-21,"20,384"
2021-05-22,"15,632"
2021-05-23,"16,672"
2021-05-24,"16,736"
2021-05-25,"15,264"
2021-05-26,"14,192"
2021-05-27,"14,240"
2021-05-28,"13,968"
2021-05-29,"14,000"
2021-05-30,"13,968"
2021-05-31,"13,856"
2021-06-01,"13,280"
2021-06-02,"14,752"
2021-06-03,"14,592"
2021-06-04,"13,376"
2021-06-05,"14,080"
2021-06-06,"14,976"
2021-06-07,"15,184"
2021-06-08,"15,440"
2021-06-09,"15,664"
2021-06-10,"15,568"
2021-06-11,"15,728"
2021-06-12,"15,984"
2021-06-13,"15,632"
2021-06-14,"15,648"
2021-06-15,"12,320"
2021-06-16,"15,120"
2021-06-17,"14,944"
2021-06-18,"14,784"
2021-06-19,"14,832"
2021-06-20,"14,752"
2021-06-21,"14,768"
2021-06-22,"14,944"
2021-06-23,"14,576"
2021-06-24,"9,104"
2021-06-25,"9,104"
2021-06-26,"9,104"
2021-06-27,"14,320"
2021-06-28,"14,480"
2021-06-29,"8,608"
2021-06-30,"8,608"
2021-07-01,"8,608"
2021-07-02,"14,320"
2021-07-03,"14,400"
2021-07-04,"14,528"
2021-07-05,"14,560"
2021-07-06,"14,464"
2021-07-07,"12,592"
2021-07-08,"10,704"
2021-07-09,"13,424"
2021-07-10,"14,512"
2021-07-11,"14,512"
2021-07-12,"14,400"
2021-07-13,"14,400"
2021-07-14,"14,624"
2021-07-15,"14,640"
2021-07-16,"14,736"
2021-07-17,"14,928"
2021-07-18,"14,944"
2021-07-19,"14,928"
2021-07-20,"14,160"
2021-07-21,"14,736"
2021-07-22,"11,568"
2021-07-23,"9,920"
2021-07-24,"9,856"
2021-07-25,"9,504"
2021-07-26,"9,424"
2021-07-27,"9,296"
2021-07-28,"9,168"
2021-07-29,"9,184"
2021-07-30,"10,624"
2021-07-31,"11,104"
2021-08-01,"15,456"
2021-08-02,"15,840"
2021-08-03,"16,240"
2021-08-04,"15,792"
2021-08-05,"15,520"
2021-08-06,"15,584"
2021-08-07,"15,968"
2021-08-08,"16,064"
2021-08-09,"16,080"
2021-08-10,"16,256"
2021-08-11,"16,384"
2021-08-12,"16,256"
2021-08-13,"16,240"
2021-08-14,"16,048"
2021-08-15,"15,808"
2021-08-16,"15,984"
2021-08-17,"16,048"
2021-08-18,"16,272"
2021-08-19,"17,248"
2021-08-20,"17,312"
2021-08-21,"17,328"
2021-08-22,"17,040"
2021-08-23,"16,352"
2021-08-24,"14,160"
2021-08-25,"14,464"
2021-08-26,"15,968"
2021-08-27,"17,152"
2021-08-28,"17,008"
2021-08-29,"16,736"
2021-08-30,"16,672"
2021-08-31,"16,528"
2021-09-01,"16,160"
2021-09-02,"16,048"
2021-09-03,"16,224"
2021-09-04,"16,096"
2021-09-05,"16,032"
2021-09-06,"16,016"
2021-09-07,"16,192"
2021-09-08,"16,288"
2021-09-09,"16,368"
2021-09-10,"16,320"
2021-09-11,"16,608"
2021-09-12,"16,368"
2021-09-13,"16,176"
2021-09-14,"16,048"
2021-09-15,"16,240"
2021-09-16,"16,208"
2021-09-17,"16,176"
2021-09-18,"16,256"
2021-09-19,"16,416"
2021-09-20,"16,384"
2021-09-21,"16,288"
2021-09-22,"16,416"
2021-09-23,"16,640"
2021-09-24,"16,512"
2021-09-25,"16,528"
2021-09-26,"16,352"
2021-09-27,"16,352"
2021-09-28,"16,848"
