Month,Day,Year,"Daily Total, Kwh","TotalTreated water leaving plant,MG"
May,3,2021,,12.8574
May,4,2021,"180,112",
May,5,2021,"24,816",
May,6,2021,"24,080",
May,7,2021,"23,088",
May,8,2021,"22,608",
May,9,2021,"22,304",
May,10,2021,"22,352",
May,11,2021,"27,776",
May,12,2021,"43,712",
May,13,2021,"40,368",
May,14,2021,"57,536",
May,15,2021,"37,184",
May,16,2021,"63,520",
May,17,2021,"61,712",
May,18,2021,"40,080",
May,19,2021,"19,264",
May,20,2021,"40,064",
May,21,2021,"20,384",
May,22,2021,"15,632",
May,23,2021,"16,672",
May,24,2021,"16,736",
May,25,2021,"15,264",
May,26,2021,"14,192",
May,27,2021,"14,240",
May,28,2021,"13,968",
May,29,2021,"14,000",
May,30,2021,"13,968",
May,31,2021,"13,856",
June,1,2021,"13,280",0
June,2,2021,"14,752",0
June,3,2021,"14,592",0
June,4,2021,"13,376",0
June,5,2021,"14,080",0
June,6,2021,"14,976",0
June,7,2021,"15,184",0
June,8,2021,"15,440",0
June,9,2021,"15,664",0
June,10,2021,"15,568",0
June,11,2021,"15,728",0
June,12,2021,"15,984",0
June,13,2021,"15,632",0
June,14,2021,"15,648",0
June,15,2021,"12,320",0
June,16,2021,"15,120",0
June,17,2021,"14,944",0
June,18,2021,"14,784",0
June,19,2021,"14,832",0
June,20,2021,"14,752",0
June,21,2021,"14,768",0
June,22,2021,"14,944",0
June,23,2021,"14,576",0
June,24,2021,"9,104",0
June,25,2021,,0
June,26,2021,,0
June,27,2021,"14,320",0
June,28,2021,"14,480",0
June,29,2021,"8,608",0
June,30,2021,,0
July,1,2021,,0
July,2,2021,"14,320",0
July,3,2021,"14,400",0
July,4,2021,"14,528",0
July,5,2021,"14,560",0
July,6,2021,"14,464",0
July,7,2021,"12,592",0
July,8,2021,"10,704",0
July,9,2021,"13,424",0
July,10,2021,"14,512",0
July,11,2021,"14,512",0
July,12,2021,"14,400",0
July,13,2021,"14,400",0
July,14,2021,"14,624",0
July,15,2021,"14,640",0
July,16,2021,"14,736",0
July,17,2021,"14,928",0
July,18,2021,"14,944",0
July,19,2021,"14,928",0
July,20,2021,"14,160",0
July,21,2021,"14,736",0
July,22,2021,"11,568",0
July,23,2021,"9,920",0
July,24,2021,"9,856",0
July,25,2021,"9,504",0
July,26,2021,"9,424",0
July,27,2021,"9,296",0
July,28,2021,"9,168",0
July,29,2021,"9,184",0
July,30,2021,"10,624",0
July,31,2021,"11,104",0
August,1,2021,"15,456",0
August,2,2021,"15,840",0
August,3,2021,"16,240",0
August,4,2021,"15,792",0
August,5,2021,"15,520",0
August,6,2021,"15,584",0
August,7,2021,"15,968",0
August,8,2021,"16,064",0
August,9,2021,"16,080",0
August,10,2021,"16,256",0
August,11,2021,"16,384",0
August,12,2021,"16,256",0
August,13,2021,"16,240",0
August,14,2021,"16,048",0
August,15,2021,"15,808",0
August,16,2021,"15,984",0
August,17,2021,"16,048",0
August,18,2021,"16,272",0
August,19,2021,"17,248",0
August,20,2021,"17,312",0
August,21,2021,"17,328",0
August,22,2021,"17,040",0
August,23,2021,"16,352",0
August,24,2021,"14,160",0
August,25,2021,"14,464",0
August,26,2021,"15,968",0
August,27,2021,"17,152",0
August,28,2021,"17,008",0
August,29,2021,"16,736",0
August,30,2021,"16,672",0
August,31,2021,"16,528",0
September,1,2021,"16,160",0
September,2,2021,"16,048",0
September,3,2021,"16,224",0
September,4,2021,"16,096",0
September,5,2021,"16,032",0
September,6,2021,"16,016",0
September,7,2021,"16,192",0
September,8,2021,"16,288",0
September,9,2021,"16,368",0
September,10,2021,"16,320",0
September,11,2021,"16,608",0
September,12,2021,"16,368",0
September,13,2021,"16,176",0
September,14,2021,"16,048",0
September,15,2021,"16,240",0
September,16,2021,"16,208",0
September,17,2021,"16,176",0
September,18,2021,"16,256",0
September,19,2021,"16,416",0
September,20,2021,"16,384",0
September,21,2021,"16,288",0
September,22,2021,"16,416",0
September,23,2021,"16,640",0
September,24,2021,"16,512",0
September,25,2021,"16,528",0
September,26,2021,"16,352",0
September,27,2021,"16,352",0
September,28,2021,"16,848",0
September,29,2021,"16,592",0
September,30,2021,"17,136",0
October,1,2021,"17,584",0
October,2,2021,"16,784",0
October,3,2021,"16,448",0
October,4,2021,"16,320",0
October,5,2021,"17,328",0
October,6,2021,"16,272",0
October,7,2021,"16,048",0
October,8,2021,"16,496",0
October,9,2021,"16,752",0
October,10,2021,"16,656",0
October,11,2021,"16,528",0
October,12,2021,"16,800",0
October,13,2021,"16,912",0
October,14,2021,"17,168",0
October,15,2021,"17,680",0
October,16,2021,"18,240",0
October,17,2021,"18,064",0
October,18,2021,"17,808",0
October,19,2021,"17,296",0
October,20,2021,"15,888",0
October,21,2021,"6,880",0
October,22,2021,"3,248",0
October,23,2021,"10,880",0
October,24,2021,"14,784",0
October,25,2021,"14,752",0
October,26,2021,"14,880",0
October,27,2021,"14,688",0
October,28,2021,"14,560",0
October,29,2021,"13,824",0
October,30,2021,"13,120",0
October,31,2021,"14,352",0
November,1,2021,"14,368",0
November,2,2021,"14,480",0
November,3,2021,"14,704",0
November,4,2021,"14,704",0
November,5,2021,"14,992",0
November,6,2021,"14,848",0
November,7,2021,"14,560",0
November,8,2021,"14,464",0
November,9,2021,"14,512",0
November,10,2021,"14,480",0
November,11,2021,"14,528",0
November,12,2021,"14,496",0
November,13,2021,"14,528",0
November,14,2021,"14,384",0
November,15,2021,"14,208",0
November,16,2021,"14,192",0
November,17,2021,"14,128",0
November,18,2021,"14,224",0
November,19,2021,"14,160",0
November,20,2021,"14,368",0
November,21,2021,"14,384",0
November,22,2021,"14,528",0
November,23,2021,"14,352",0
November,24,2021,"15,696",0
November,25,2021,"16,384",0
November,26,2021,"16,368",0
November,27,2021,"16,288",0
November,28,2021,"16,160",0
November,29,2021,"15,904",0
November,30,2021,"16,112",0
December,1,2021,"16,640",0
December,2,2021,"17,088",0
December,3,2021,"18,848",0
December,4,2021,"18,304",0
December,5,2021,"18,176",0
December,6,2021,"18,672",0
December,7,2021,"28,672",0
December,8,2021,"48,016",2.76758
December,9,2021,"38,496",8.16211
December,10,2021,"106,320",8.15332
December,11,2021,"105,424",8.06738
December,12,2021,"96,000",7.8418
December,13,2021,"120,688",7.36914
December,14,2021,"115,872",9.95801
December,15,2021,"132,992",12.0098
December,16,2021,"156,640",11.999
December,17,2021,"154,048",11.8379
December,18,2021,"153,696",11.5586
December,19,2021,"152,784",11.6982
December,20,2021,"153,408",11.5732
December,21,2021,"154,192",12.4688
December,22,2021,"172,336",16.3008
December,23,2021,"209,072",16.0918
December,24,2021,"118,208",16.4414
December,25,2021,"225,886",16.3008
December,26,2021,"224,539",16.1836
December,27,2021,"223,931",16.1367
December,28,2021,"223,233",16.0732
December,29,2021,"223,178",16.0898
December,30,2021,"210,096",16.0898
December,31,2021,"205,760",15.8906
