Year,Month,Day of the Month,"Rain fall,Inches",Hours Plant in operation,"Total Raw water to plant,MG",Compliance with permitted capacity?,"Backwas,Thousand Gallons","TotalTreated water leaving plant,MG","Peak demand into distribution,MDG",Nomeasurements Recorded,No Measuremnts Required,Measuremnt Recorded ≥ Measuremnt Required?,№ Measuremnt ≤ SpecifiedTreatmentTeachique Limit,№ Measuremmt > Never Exceed Limit,"Average Daily Turbidity,NTU","Maximum DailyTurbidity,NTU","Log Inactivation,Giardia",Giardia Compliance?,"Log Inactivation,Viruses",Virus Compliance?,"Log Inactivation,Giardia",Giardia Compliance?,"Log Inactivation,Viruses",Virus Compliance?,"Emergency or Abnormal Operating Conditions,Repairor Maintenance Work that InvolvesTaking Water System Components Out of Operation"
2017,January,1,0,24,27.14,yes,"3,043",15.38,15.29,6,6,Yes,6,0,0.02,0.02,7.54,Yes,472.74,Yes,,,,,Producing -TBW > Finished Water
2017,January,2,0,24,27.13,yes,3076,15.56,15.47,6,6,Yes,6,0,0.02,0.02,6.31,Yes,405.58,Yes,,,,,Producing - TBW > Finished Water
2017,January,3,0,24,27.14,yes,3110,15.74,15.6,6,6,Yes,6,0,0.02,0.02,6.8,Yes,439.79,Yes,,,,,Producing -TBW > Finished Water
2017,January,4,0,24,26.83,yes,3095,16.02,15.62,6,6,Yes,6,0,0.02,0.02,8.72,Yes,468.74,Yes,,,,,Producing -TBW > Finished Water
2017,January,5,0,24,26.63,yes,3038,15.25,15.5,6,6,Yes,6,0,0.02,0.02,8.86,Yes,443.77,Yes,,,,,Producing -TBW > Finished Water
2017,January,7,0,24,26.85,yes,3041,15,15.51,6,6,Yes,6,0,0.02,0.02,8.38,Yes,389.68,Yes,,,,,Producing -TBW >  Finished Water
2017,January,8,0.25,24,27.21,yes,3086,15.01,15.61,6,6,Yes,6,0,0.02,0.02,8.2,Yes,396.41,Yes,,,,,Producing -TBW >  Finished Water
2017,January,9,0,24,26.21,yes,3066,14,15.6,6,6,Yes,6,0,0.02,0.02,7.6,Yes,371.77,Yes,,,,,Producing -TBW >  Finished Water
2017,January,10,0,24,26.9,yes,3045,15.01,15.64,6,6,Yes,6,0,0.02,0.02,7.03,Yes,330.02,Yes,,,,,Producing -TBW >  Finished Water
2017,January,11,0,24,26.53,yes,2982,15,15.57,6,6,Yes,6,0,0,0.06,7.42,Yes,316.84,Yes,,,,,Producing -TBW >  Finished Water
2017,January,12,0,24,26.32,yes,2951,!6,15.33,6,6,Yes,6,0,0.02,0.02,7.71,Yes,323.57,Yes,,,,,Producing - TBW >  Finished Water
2017,January,13,0,16,21.58,yes,2940,IO,15.39,6,6,Yes,6,0,0.02,0.02,7.69,Yes,318.47,Yes,,,,,Producing -TBW >  Finished Water (Plant Outage@ 4:00 PM)
2017,January,14,0,16,22.27,yes,2741,10.01,16.16,6,6,Yes,6,0,0,0.06,7.78,Yes,328,Yes,,,,,Producing - TBW >  Finished Water(Restart the Flow@ 8:00 AM)
2017,January,15,0,24,25.72,yes,2858,15.01,15.2,6,6,Yes,6,0,0.02,0.02,7.58,Yes,305.36,Yes,,,,,Producing -TBW >  Finished Water
2017,January,16,0,24,25.58,yes,2913,13.01,14.37,6,6,Yes,6,0,0.02,0.02,6.34,Yes,254.51,Yes,,,,,Producing -TBW >  Finished Water
2017,January,17,0,24,26,yes,2038,15.49,15.32,6,6,Yes,6,0,0.02,0.02,5.8,Yes,242.3,Yes,,,,,Producing -TBW >  Finished Water
2017,January,18,0,24,26.13,yes,2018,15.27,15.3,6,6,Yes,6,0,0.02,0.02,8.78,Yes,384.31,Yes,,,,,Producing -TBW >  Finished Water
2017,January,19,0,24,25.88,yes,2005,15.27,15.31,6,6,Yes,6,0,0.02,0.02,9.51,Yes,419.64,Yes,,,,,Producing -TBW >  Finished Water
2017,January,20,0,24,25.99,yes,2005,15.27,15.3,6,6,Yes,6,0,0.02,0.02,9.46,Yes,421.26,Yes,,,,,Producing -TBW >  Finished Water
2017,January,21,0,24,25.72,yes,2016,15.24,15.28,6,6,Yes,6,0,0.02,0.02,9.03,Yes,408.14,Yes,,,,,Producing -TBW >  Finished Water
2017,January,22,0.75,24,25.94,yes,2029,14.76,15.11,6,6,Yes,6,0,0.02,0.02,8.74,Yes,387.42,Yes,,,,,Producing-TBW >  Finished Water
2017,January,23,0,24,26,yes,2195,14.76,14.85,6,6,Yes,6,0,0,0.05,8.68,Yes,386.09,Yes,,,,,Producing -TBW >  Finished Water
2017,January,24,0,24,26.41,yes,2353,14.76,15.11,6,6,Yes,6,0,0.02,0.02,9.6,Yes,433.41,Yes,,,,,Producing -TBW >  Finished Water
2017,January,25,0,24,30.2,yes,2296,15.98,19.56,6,6,Yes,6,0,0,0.07,7.32,Yes,334.35,Yes,,,,,Producing -TBW >  Finished Water
2017,January,26,0,24,33.07,yes,2315,19.41,19.43,6,6,Yes,6,0,0.02,0.02,7.57,Yes,321.02,Yes,,,,,Producing -TBW >  Finished Water
2017,January,27,0,24,33.18,yes,2390,19.11,19.4,6,6,Yes,6,0,0.02,0.02,8.87,Yes,390.32,Yes,,,,,Producing -TBW >  Finished Water
2017,January,28,0,24,33.26,yes,2332,18.95,19.14,6,6,Yes,6,0,0.02,0.02,9.22,Yes,417.58,Yes,,,,,Producing -TBW >  Finished Water
2017,January,29,0,24,33.55,yes,2076,18.96,19.22,6,6,Yes,6,0,0.02,0.02,8.31,Yes,383.34,Yes,,,,,Producing -TB\V >  Finished Water
2017,January,30,0,24,33.54,yes,1975,19.17,19.41,6,6,Yes,6,0,0.02,0.02,7.91,Yes,362.94,Yes,,,,,Producing -TB\V >  Finished Water
2017,January,31,0,24,33.54,yes,1972,19.44,19.44,6,6,Yes,6,0,0.02,0.02,8.41,Yes,388.8,Yes,,,,,Producing-TBW >  Finished Water
,,Total,I,728,855.19,yes,80037,482.85,,186,182,0,186,0,,,,,,0,,0,,0,
,,Avg,0.032,23.5,27.5868,,2581.84,15.5758,16.2894,6,5.87,,6,0,0.02,0.03,8.03,,375.31,,,,,,
,,Min,0,16,21.58,,1972,IO,14.37,6,4,,6,,0.02,0.02,5.8,,242.3,,,,,,
,,Max,0.75,24,33.55,,3110,19.44,19.56,6,6,,6,,0.0283,0.07,9.6,,472.74,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Feb,I,0,24,27.14,yes,"1,918",19.13,19.45,6,6,Yes,6,0,0.02,0.02,7.22,Yes,333.68,Yes,,,,,
2017,Feb,2,0,24,27.13,yes,2210,18.95,19.25,6,6,Yes,6,0,0.02,0.02,7.76,Yes,355.95,Yes,,,,,
2017,Feb,3,0,24,27.14,yes,1985,18.95,19.2,6,6,Yes,6,0,0.02,0.02,8.14,Yes,368.72,Yes,,,,,
2017,Feb,4,0,24,26.83,yes,1939,18.95,19.25,6,6,Yes,6,0,0.02,0.02,7.4,Yes,333.42,Yes,,,,,
2017,Feb,5,0,24,26.63,yes,1978,18.96,19.22,6,6,Yes,6,0,0.02,0.02,7.94,Yes,357.54,Yes,,,,,
2017,Feb,6,0,20,26.74,yes,1896,15.32,19.12,6,5,Yes,6,0,0.02,0.02,7.97,Yes,357.8,Yes,,,,,Power Outage@ 7:30 PM
2017,Feb,7,0,7,26.85,yes,1780,3.82,18.97,6,2,Yes,6,0,,O.Q3,8.61,Yes,301.19,Yes,,,,,Restart Product Water sending@ 5:30 PM
2017,Feb,8,0,24,27.21,yes,2346,18.95,19.22,6,6,Yes,6,0,0.02,0.02,7.14,Yes,298.6,Yes,,,,,
2017,Feb,9,0,24,26.21,yes,2444,18.96,19.3,6,6,Yes,6,0,0.02,0.02,8.65,Yes,364.82,Yes,,,,,
2017,Feb,IO,0,24,26.9,yes,2319,13.42,19.35,6,6,Yes,6,0,,0.04,8.67,Yes,398.19,Yes,,,,,
2017,Feb,II,0,24,26.53,yes,2200,18.95,19.37,6,6,Yes,6,0,,O.Q3,9.29,Yes,406.94,Yes,,,,,
2017,Feb,12,0,24,26.32,yes,2203,18.96,19.26,6,6,Yes,6,0,0.02,0.02,8.44,Yes,379.7,Yes,,,,,
2017,Feb,13,0,24,21.58,yes,2169,18.94,19.27,6,6,Yes,6,0,0.02,0.02,8.77,Yes,395.87,Yes,,,,,
2017,Feb,14,0,24,22.27,yes,2147,18.95,19.34,6,6,Yes,6,0,0.02,0.02,8.98,Yes,388.49,Yes,,,,,
2017,Feb,15,0,24,25.72,yes,2141,18.96,19.35,6,6,Yes,6,0,0.02,0.02,8.97,Yes,383.34,Yes,,,,,
2017,Feb,16,0,24,25.58,yes,2159,18.95,19.24,6,6,Yes,6,0,0.02,0.02,9.15,Yes,387.52,Yes,,,,,
2017,Feb,17,0,24,26,yes,2138,16.72,18.71,6,6,Yes,6,0,0.02,0.02,9.28,Yes,404.54,Yes,,,,,
2017,Feb,18,0.5,24,26.13,yes,2204,14.74,15.14,6,6,Yes,6,0,0.02,0.02,10.4,Yes,449.45,Yes,,,,,
2017,Feb,19,0,24,25.88,yes,2223,14.74,15.1,6,6,Yes,6,0,0.02,0.02,10.15,Yes,476.74,Yes,,,,,
2017,Feb,20,0,24,25.99,yes,2323,10.52,15.1,6,6,Yes,6,0,0.02,0.02,9.82,Yes,449.74,Yes,,,,,
2017,Feb,21,0,24,25.72,yes,2223,14.72,15.12,6,6,Yes,6,0,0.02,0.02,11.21,Yes,499.78,Yes,,,,,
2017,Feb,22,0,24,25.94,yes,2301,14.74,15.3,6,6,Yes,6,0,0.02,0.02,9.22,Yes,460.43,Yes,,,,,
2017,Feb,23,0,24,26,yes,2268,14.83,15.39,6,6,Yes,6,0,0.02,0.02,10.01,Yes,502.85,Yes,,,,,
2017,Feb,24,0,24,26.41,yes,2245,14.74,15.34,6,6,Yes,6,0,,0.03,9.26,Yes,457.31,Yes,,,,,
2017,Feb,25,0,24,30.2,yes,2312,14.74,15.35,6,6,Yes,6,0,0.02,0.02,9.59,Yes,468.08,Yes,,,,,
2017,Feb,26,0,24,33.07,yes,2307,14.74,15.35,6,6,Yes,6,0,0.02,0.02,10.93,Yes,510.7,Yes,,,,,
2017,Feb,27,0,24,33.18,yes,2238,14.74,15.33,6,6,Yes,6,0,0.02,0.02,10.11,Yes,488.87,Yes,,,,,
2017,Feb,28,0,24,33.26,yes,2173,14.74,15.31,6,6,Yes,6,0,0.02,0.02,10.34,Yes,492.33,Yes,,,,,
2017,Feb,29,,,,,,,,,,,,,,,,,,,,,,,
2017,Feb,30,,,,,,,,,,,,,,,,,,,,,,,
2017,Feb,31,,,,,,,,,,,,,,,,,,,,,,,
2017,Feb,Total,0.5,651,754.56,0,60789,453.83,,168,163,,0        168,,,,,,0,,0,0,,0,
2017,Feb,Avg,"0,0!8",23.3,26.9486,,2171.04,16.2082,17.6679,6,5.82,,6,,,0.02,9.05,,409.73,,,,,,
2017,Feb,Min,0,7,21.58,,1780,3.82,15.1,6,2,,6,,,0.02,7.14,,298.6,,,,,,
2017,Feb,Max,0.5,24,33.26,,2444,19.13,19.45,6,6,,6,,,0.04,11.21,,510.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2017,March,I,0,24,27.15,Yes,"2,222",14.74,15.2071,6,6,Yes,6,0,0.02,0.02,10.57,Yes,495.19,Yes,,,,,
