DATE,Water Flows,RAW WATER TURBIDITY (NTU),RO FEED TURBIDITY (NTU),RAW WATER TDS (MG/L),FINISHED WATER TURBIDITY (NTU),FINISHED WATER TDS (MG/L),Daily KWH,Daily COST
2017-01-01,4.98,,0.04,,0.28,129.2,15822.58064516129,1335.741935483871
2017-01-02,4.95,,0.14,,0.12,136.0,15822.58064516129,1335.741935483871
2017-01-03,3.68,,0.71,,0.17,131.2,15822.58064516129,1335.741935483871
2017-01-04,4.99,,0.55,1300.0,0.16,131.5,15822.58064516129,1335.741935483871
2017-01-05,4.86,,0.36,,0.16,127.4,15822.58064516129,1335.741935483871
2017-01-06,4.87,,0.09,,0.18,130.1,15822.58064516129,1335.741935483871
2017-01-07,4.91,,0.04,,0.17,130.4,15822.58064516129,1335.741935483871
2017-01-08,4.75,,0.07,,0.27,127.6,15822.58064516129,1335.741935483871
2017-01-09,4.95,,0.11,,0.19,132.1,15822.58064516129,1335.741935483871
2017-01-10,4.72,,0.04,1310.0,0.28,123.1,15822.58064516129,1335.741935483871
2017-01-11,4.83,,0.05,,0.13,130.0,15822.58064516129,1335.741935483871
2017-01-12,4.96,,0.04,,0.12,130.7,15822.58064516129,1335.741935483871
2017-01-13,4.86,,0.05,,0.18,126.2,15822.58064516129,1335.741935483871
2017-01-14,4.98,,0.04,,0.18,123.2,15822.58064516129,1335.741935483871
2017-01-15,4.99,,0.56,,0.18,126.4,15822.58064516129,1335.741935483871
2017-01-16,4.94,,0.04,,0.3,130.0,15822.58064516129,1335.741935483871
2017-01-17,5.01,,0.04,1400.0,0.22,128.0,15822.58064516129,1335.741935483871
2017-01-18,5.01,,0.04,,0.25,124.5,15822.58064516129,1335.741935483871
2017-01-19,5.12,,0.04,,0.18,129.6,15822.58064516129,1335.741935483871
2017-01-20,4.41,,0.9,,0.17,130.4,15822.58064516129,1335.741935483871
2017-01-21,5.03,,0.03,,0.16,128.0,15822.58064516129,1335.741935483871
2017-01-22,4.91,,0.03,,0.15,127.6,15822.58064516129,1335.741935483871
2017-01-23,4.51,,0.04,,0.25,127.8,15822.58064516129,1335.741935483871
2017-01-24,5.03,,0.02,1300.0,0.23,127.5,15822.58064516129,1335.741935483871
2017-01-25,4.78,,0.03,,0.14,130.0,15822.58064516129,1335.741935483871
2017-01-26,2.98,,2.69,,0.14,130.0,15822.58064516129,1335.741935483871
2017-01-27,4.9,,0.04,,0.04,123.9,15822.58064516129,1335.741935483871
2017-01-28,4.0,,0.19,,0.21,123.8,15822.58064516129,1335.741935483871
2017-01-29,4.74,,0.06,,0.21,125.0,15822.58064516129,1335.741935483871
2017-01-30,4.93,,0.04,,0.19,125.0,15822.58064516129,1335.741935483871
2017-01-31,2.94,,0.63,,0.18,124.1,15822.58064516129,1335.741935483871
2017-02-01,4.55,,0.19,1290.0,0.27,122.8,15857.142857142857,1483.25
2017-02-02,4.94,,0.04,,0.27,122.8,15857.142857142857,1483.25
2017-02-03,4.59,,0.07,,0.2,131.0,15857.142857142857,1483.25
2017-02-04,4.76,,0.04,,0.23,127.2,15857.142857142857,1483.25
2017-02-05,4.68,,0.08,,0.29,123.8,15857.142857142857,1483.25
2017-02-06,4.97,,0.11,,0.22,132.2,15857.142857142857,1483.25
2017-02-07,4.97,,0.03,1300.0,0.23,132.0,15857.142857142857,1483.25
2017-02-08,4.97,,0.22,,0.18,127.0,15857.142857142857,1483.25
2017-02-09,4.08,,0.79,,0.13,130.0,15857.142857142857,1483.25
2017-02-10,4.12,,1.2,,0.15,125.0,15857.142857142857,1483.25
2017-02-11,5.0,,0.03,,0.15,125.8,15857.142857142857,1483.25
2017-02-12,5.03,,0.03,,0.2,130.1,15857.142857142857,1483.25
2017-02-13,5.0,,0.03,,0.14,129.1,15857.142857142857,1483.25
2017-02-14,0.88,,2.83,,0.16,137.0,15857.142857142857,1483.25
2017-02-15,4.0,,1.94,,0.24,184.4,15857.142857142857,1483.25
2017-02-16,4.97,,0.06,,0.2,121.1,15857.142857142857,1483.25
2017-02-17,5.9,,0.04,,0.31,126.2,15857.142857142857,1483.25
2017-02-18,5.16,,2.66,,,,15857.142857142857,1483.25
2017-02-19,4.23,,1.73,,0.25,127.4,15857.142857142857,1483.25
2017-02-20,0.84,,2.3,,,,15857.142857142857,1483.25
2017-02-21,6.18,,0.11,1310.0,0.14,132.4,15857.142857142857,1483.25
2017-02-22,6.98,,0.03,,0.19,131.7,15857.142857142857,1483.25
2017-02-23,7.89,,0.33,,0.2,131.7,15857.142857142857,1483.25
2017-02-24,4.94,,1.83,,0.3,125.6,15857.142857142857,1483.25
2017-02-25,6.42,,0.48,,0.23,128.6,15857.142857142857,1483.25
2017-02-26,7.22,,0.09,,0.17,127.3,15857.142857142857,1483.25
2017-02-27,7.17,,0.09,,0.17,129.5,15857.142857142857,1483.25
2017-02-28,8.79,,0.08,,0.44,130.5,15857.142857142857,1483.25
2017-03-01,9.94,,0.06,,0.26,133.3,14758.064516129032,1376.5483870967741
2017-03-02,7.87,,0.08,,0.13,128.3,14758.064516129032,1376.5483870967741
2017-03-03,6.44,,0.04,,0.22,140.6,14758.064516129032,1376.5483870967741
2017-03-04,4.99,,0.03,,0.17,128.0,14758.064516129032,1376.5483870967741
2017-03-05,6.27,,0.04,,0.23,130.6,14758.064516129032,1376.5483870967741
2017-03-06,3.5,,5.4,,,,14758.064516129032,1376.5483870967741
2017-03-07,0.0,,7.23,,,,14758.064516129032,1376.5483870967741
2017-03-08,2.06,,6.97,,0.16,131.0,14758.064516129032,1376.5483870967741
2017-03-09,4.72,,0.3,,,,14758.064516129032,1376.5483870967741
2017-03-10,0.0,,1.31,,,,14758.064516129032,1376.5483870967741
2017-03-11,1.08,,1.3,,,,14758.064516129032,1376.5483870967741
2017-03-12,0.01,,1.37,,,,14758.064516129032,1376.5483870967741
2017-03-13,0.58,,2.57,,0.14,122.0,14758.064516129032,1376.5483870967741
2017-03-14,1.44,,3.7,,0.17,132.2,14758.064516129032,1376.5483870967741
2017-03-15,4.66,,0.26,1400.0,0.13,121.5,14758.064516129032,1376.5483870967741
2017-03-16,0.0,,5.39,,,,14758.064516129032,1376.5483870967741
2017-03-17,0.0,,5.21,,,,14758.064516129032,1376.5483870967741
2017-03-18,0.0,,1.93,,,,14758.064516129032,1376.5483870967741
2017-03-19,0.0,,1.06,,,,14758.064516129032,1376.5483870967741
2017-03-20,0.0,,1.47,,,,14758.064516129032,1376.5483870967741
2017-03-21,0.0,,1.16,,,,14758.064516129032,1376.5483870967741
2017-03-22,0.0,,1.23,,,,14758.064516129032,1376.5483870967741
2017-03-23,0.4,,1.52,,0.28,149.1,14758.064516129032,1376.5483870967741
2017-03-24,0.0,,0.62,,,,14758.064516129032,1376.5483870967741
2017-03-25,0.0,,1.04,,,,14758.064516129032,1376.5483870967741
