Date,"Adjusted Daily Consumption, Kwh"
01/01/2017,153910
02/01/2017,153910
03/01/2017,153910
04/01/2017,153910
05/01/2017,153910
06/01/2017,153910
07/01/2017,153910
08/01/2017,153910
09/01/2017,153910
10/01/2017,153910
11/01/2017,153910
12/01/2017,153910
13/01/2017,153910
14/01/2017,153910
15/01/2017,153910
16/01/2017,153910
17/01/2017,153910
18/01/2017,153910
19/01/2017,153910
20/01/2017,153910
21/01/2017,153910
22/01/2017,153910
23/01/2017,153910
24/01/2017,153910
25/01/2017,153910
26/01/2017,153910
27/01/2017,153910
28/01/2017,153910
29/01/2017,153910
30/01/2017,153910
01/02/2017,182614
02/02/2017,182614
03/02/2017,182614
04/02/2017,182614
05/02/2017,182614
06/02/2017,182614
07/02/2017,182614
08/02/2017,182614
09/02/2017,182614
10/02/2017,182614
11/02/2017,182614
12/02/2017,182614
13/02/2017,182614
14/02/2017,182614
15/02/2017,182614
16/02/2017,182614
17/02/2017,182614
18/02/2017,182614
19/02/2017,182614
20/02/2017,182614
21/02/2017,182614
22/02/2017,182614
23/02/2017,182614
24/02/2017,182614
25/02/2017,182614
26/02/2017,182614
27/02/2017,182614
28/02/2017,182614
01/03/2017,134468
02/03/2017,134468
03/03/2017,134468
04/03/2017,134468
05/03/2017,134468
06/03/2017,134468
07/03/2017,134468
08/03/2017,134468
09/03/2017,134468
10/03/2017,134468
11/03/2017,134468
12/03/2017,134468
13/03/2017,134468
14/03/2017,134468
15/03/2017,134468
16/03/2017,134468
17/03/2017,134468
18/03/2017,134468
19/03/2017,134468
20/03/2017,134468
21/03/2017,134468
22/03/2017,134468
23/03/2017,134468
24/03/2017,134468
25/03/2017,134468
26/03/2017,134468
27/03/2017,134468
28/03/2017,134468
29/03/2017,134468
30/03/2017,134468
31/03/2017,134468
01/04/2017,142808
02/04/2017,142808
03/04/2017,142808
04/04/2017,142808
05/04/2017,142808
06/04/2017,142808
07/04/2017,142808
08/04/2017,142808
09/04/2017,142808
10/04/2017,142808
11/04/2017,142808
12/04/2017,142808
13/04/2017,142808
14/04/2017,142808
15/04/2017,142808
16/04/2017,142808
17/04/2017,142808
18/04/2017,142808
19/04/2017,142808
20/04/2017,142808
21/04/2017,142808
22/04/2017,142808
23/04/2017,142808
24/04/2017,142808
25/04/2017,142808
26/04/2017,142808
27/04/2017,142808
28/04/2017,142808
29/04/2017,142808
30/04/2017,142808
01/05/2017,151815
02/05/2017,151815
03/05/2017,151815
04/05/2017,151815
05/05/2017,151815
06/05/2017,151815
07/05/2017,151815
08/05/2017,151815
09/05/2017,151815
10/05/2017,151815
11/05/2017,151815
12/05/2017,151815
13/05/2017,151815
14/05/2017,151815
15/05/2017,151815
16/05/2017,151815
17/05/2017,151815
18/05/2017,151815
19/05/2017,151815
20/05/2017,151815
21/05/2017,151815
22/05/2017,151815
23/05/2017,151815
24/05/2017,151815
25/05/2017,151815
26/05/2017,151815
27/05/2017,151815
28/05/2017,151815
29/05/2017,151815
01/06/2017,27481
02/06/2017,27481
03/06/2017,27481
04/06/2017,27481
05/06/2017,27481
06/06/2017,27481
07/06/2017,27481
08/06/2017,27481
09/06/2017,27481
10/06/2017,27481
11/06/2017,27481
12/06/2017,27481
13/06/2017,27481
14/06/2017,27481
15/06/2017,27481
16/06/2017,27481
17/06/2017,27481
18/06/2017,27481
19/06/2017,27481
20/06/2017,27481
21/06/2017,27481
22/06/2017,27481
23/06/2017,27481
24/06/2017,27481
25/06/2017,27481
26/06/2017,27481
27/06/2017,27481
28/06/2017,27481
29/06/2017,27481
30/06/2017,27481
01/10/2017,0
02/10/2017,0
03/10/2017,0
04/10/2017,0
05/10/2017,0
06/10/2017,0
07/10/2017,0
08/10/2017,0
09/10/2017,0
10/10/2017,0
11/10/2017,0
12/10/2017,0
13/10/2017,0
14/10/2017,0
15/10/2017,0
16/10/2017,0
17/10/2017,0
18/10/2017,0
19/10/2017,0
20/10/2017,0
21/10/2017,0
22/10/2017,0
23/10/2017,0
24/10/2017,0
25/10/2017,0
26/10/2017,0
27/10/2017,0
28/10/2017,0
29/10/2017,0
30/10/2017,0
31/10/2017,0
01/11/2017,22220
02/11/2017,22220
03/11/2017,22220
04/11/2017,22220
05/11/2017,22220
06/11/2017,22220
07/11/2017,22220
08/11/2017,22220
09/11/2017,22220
10/11/2017,22220
11/11/2017,22220
12/11/2017,22220
13/11/2017,22220
14/11/2017,22220
15/11/2017,22220
16/11/2017,22220
17/11/2017,22220
18/11/2017,22220
19/11/2017,22220
20/11/2017,22220
21/11/2017,22220
22/11/2017,22220
23/11/2017,22220
24/11/2017,22220
25/11/2017,22220
26/11/2017,22220
27/11/2017,22220
28/11/2017,22220
01/12/2017,121127
02/12/2017,121127
03/12/2017,121127
04/12/2017,121127
05/12/2017,121127
06/12/2017,121127
07/12/2017,121127
08/12/2017,121127
09/12/2017,121127
10/12/2017,121127
11/12/2017,121127
12/12/2017,121127
13/12/2017,121127
14/12/2017,121127
15/12/2017,121127
16/12/2017,121127
17/12/2017,121127
18/12/2017,121127
19/12/2017,121127
20/12/2017,121127
21/12/2017,121127
22/12/2017,121127
23/12/2017,121127
24/12/2017,121127
25/12/2017,121127
26/12/2017,121127
27/12/2017,121127
28/12/2017,121127
29/12/2017,121127
30/12/2017,121127
31/12/2017,121127
01/01/2018,114406
02/01/2018,114406
03/01/2018,114406
04/01/2018,114406
05/01/2018,114406
06/01/2018,114406
07/01/2018,114406
08/01/2018,114406
09/01/2018,114406
10/01/2018,114406
