Date,"Maximum Raw,NTU","Maximum Settled,.NTU","Maximum Combined Filtered.
Turbiditv, NTU"
2017-01-01,1.81,3.71,0.02
2017-01-02,2.01,4.16,0.02
2017-01-03,1.27,3.41,0.02
2017-01-04,3.08,3.32,0.02
2017-01-05,3.12,3.54,0.02
2017-01-06,1.52,9.11,0.02
2017-01-07,1.83,2.99,0.02
2017-01-08,3.75,3.82,0.02
2017-01-09,3.75,3.46,0.02
2017-01-10,3.38,4.83,0.02
2017-01-11,2.55,2.89,0.03
2017-01-12,2.12,2.73,0.02
2017-01-13,1.25,2.56,0.02
2017-01-14,2.85,3.10,0.03
2017-01-15,1.44,2.43,0.02
2017-01-16,2.40,2.55,0.02
2017-01-17,1.18,2.52,0.02
2017-01-18,1.03,2.46,0.02
2017-01-19,1.05,2.41,0.02
2017-01-20,1.40,2.80,0.02
2017-01-21,1.21,2.51,0.02
2017-01-22,1.28,3.39,0.02
2017-01-23,3.58,4.54,0.03
2017-01-24,2.86,3.96,0.02
2017-01-25,3.74,5.93,0.02
2017-01-26,2.08,5.39,0.02
2017-01-27,2.15,6.97,0.02
2017-01-28,2.58,5.91,0.02
2017-01-29,3.49,3.92,0.02
2017-01-30,1.98,3.95,0.02
2017-01-31,1.25,5.07,0.02
2017-02-01,2.85,3.84,0.02
2017-02-02,2.19,3.57,0.02
2017-02-03,2.19,15.19,0.02
2017-02-04,0.99,13.97,0.02
2017-02-05,1.26,13.65,0.02
2017-02-06,1.42,3.61,0.02
2017-02-07,1.83,11.00,0.02
2017-02-08,1.85,6.92,0.02
2017-02-09,1.28,3.97,0.02
2017-02-10,1.37,5.16,0.03
2017-02-11,1.44,4.39,0.02
2017-02-12,1.15,4.38,0.02
2017-02-13,1.10,3.62,0.02
2017-02-14,1.19,3.18,0.02
2017-02-15,1.16,3.56,0.02
2017-02-16,2.57,3.76,0.02
2017-02-17,2.04,4.18,0.02
2017-02-18,2.04,3.70,0.02
2017-02-19,2.11,3.24,0.02
2017-02-20,2.65,3.24,0.02
2017-02-21,3.64,3.23,0.02
2017-02-22,2.36,2.94,0.02
2017-02-23,2.70,9.45,0.02
2017-02-24,2.33,3.31,0.02
2017-02-25,1.77,2.79,0.02
2017-02-26,2.46,2.85,0.02
2017-02-27,1.96,3.14,0.02
2017-02-28,1.83,3.22,0.02
2017-03-01,2.51,2.52,0.02
2017-03-02,2.01,2.93,0.02
2017-03-03,2.00,3.02,0.02
2017-03-04,1.93,2.73,0.02
2017-03-05,2.12,7.04,0.02
2017-03-06,2.06,2.85,0.02
2017-03-07,2.13,3.00,0.02
2017-03-08,2.72,3.09,0.02
2017-03-09,2.43,2.60,0.03
2017-03-10,2.49,2.54,0.02
2017-03-11,3.31,2.75,0.02
2017-03-12,2.72,2.45,0.02
2017-03-13,3.04,2.51,0.02
2017-03-14,2.91,2.82,0.02
2017-03-15,2.97,3.36,0.02
2017-03-16,3.01,3.12,0.02
2017-03-17,4.60,2.53,0.02
2017-03-18,2.14,2.23,0.02
2017-03-19,1.44,2.32,0.02
2017-03-20,0.90,1.93,0.02
2017-03-21,0.72,1.85,0.02
2017-03-22,0.93,1.73,0.02
2017-03-23,3.23,2.34,0.02
2017-03-24,2.10,1.81,0.02
2017-03-25,0.51,1.59,0.02
2017-03-26,0.69,1.89,0.02
2017-03-27,1.28,4.08,0.02
2017-03-28,0.65,1.68,0.02
2017-03-29,0.59,1.84,0.02
2017-03-30,0.62,1.54,0.02
2017-04-01,1.02,1.41,0.02
2017-04-02,1.24,1.48,0.02
2017-04-03,0.74,2.05,0.02
2017-04-04,0.71,1.53,0.02
2017-04-05,0.57,1.54,0.02
2017-04-06,0.64,1.41,0.02
2017-04-07,0.77,1.39,0.02
2017-04-08,0.95,1.63,0.02
2017-04-09,0.74,1.78,0.02
2017-04-10,0.71,1.59,0.02
2017-04-11,0.70,1.76,0.02
2017-04-12,0.72,1.24,0.02
2017-04-13,0.64,1.10,0.02
2017-04-14,0.56,1.19,0.02
2017-04-15,0.70,1.03,0.02
2017-04-16,0.55,0.87,0.02
2017-04-17,0.87,0.82,0.02
2017-04-18,0.68,0.74,0.02
2017-04-19,0.58,0.78,0.02
2017-04-20,0.67,0.83,0.02
2017-04-21,1.91,0.91,0.02
2017-04-22,1.13,0.83,0.02
2017-04-23,1.15,0.80,0.02
2017-04-24,1.35,0.77,0.02
2017-04-25,1.56,2.16,0.02
2017-04-26,1.15,4.36,0.02
2017-04-27,1.18,4.09,0.02
2017-04-28,1.52,3.97,0.02
2017-04-29,1.82,4.58,0.02
2017-04-30,1.59,4.69,0.03
2017-05-01,1.65,4.73,0.02
2017-05-02,1.40,4.32,0.02
2017-05-03,1.54,4.55,0.02
2017-05-04,4.69,4.99,0.02
2017-05-05,2.28,5.57,0.02
2017-05-06,3.03,6.39,0.02
2017-05-07,1.79,4.90,0.02
2017-05-08,1.46,5.23,0.02
2017-05-09,2.13,5.05,0.02
2017-05-10,2.14,5.30,0.02
2017-05-11,7.45,5.09,0.02
2017-05-12,2.71,4.76,0.02
2017-05-13,2.81,4.89,0.02
2017-05-14,2.64,5.10,0.02
2017-05-15,2.72,6.40,0.02
2017-05-16,3.14,5.42,0.03
2017-05-17,3.40,4.83,0.02
2017-05-18,4.79,5.74,0.02
2017-05-19,5.65,9.84,0.02
2017-05-20,7.93,7.68,0.02
2017-05-21,7.19,6.70,0.02
2017-05-22,7.92,9.96,0.02
2017-05-23,8.40,8.14,0.02
2017-05-24,11.92,6.27,0.02
2017-05-25,10.94,7.99,0.02
2017-05-26,9.39,6.82,0.02
2017-05-27,5.02,5.26,0.02
2017-05-28,3.34,5.22,0.02
2017-05-29,3.29,5.60,0.02
2017-05-30,3.33,5.90,0.03
2017-05-31,1.41,4.49,
2017-06-01,3.85,5.35,
2017-06-02,2.32,6.10,
2017-06-03,,,
2017-06-04,,,
2017-06-05,,,
2017-06-06,4.00,7.63,
2017-06-07,3.42,8.23,
2017-06-08,3.44,9.36,0.02
2017-06-09,1.60,5.55,0.02
2017-06-10,1.35,4.38,0.02
2017-06-11,3.55,3.84,0.02
2017-06-12,4.44,3.98,0.02
2017-06-13,2.02,3.76,0.02
2017-06-14,2.73,3.33,0.02
2017-06-15,1.18,4.13,0.02
2017-06-16,0.92,4.71,
2017-06-17,0.87,3.95,
2017-06-18,0.91,3.02,
2017-06-19,1.30,3.02,
2017-06-20,1.35,2.97,
2017-06-21,1.39,3.21,
2017-06-22,1.45,3.09,
2017-06-23,1.87,5.43,
2017-06-24,1.37,5.25,
2017-06-25,1.49,5.45,
2017-06-26,1.18,4.63,
2017-06-27,1.01,5.31,
2017-06-28,,,
2017-06-29,,,
2017-06-30,,,
2017-07-01,,,
2017-07-02,,,
2017-07-03,,,
2017-07-04,,,
2017-07-05,,,
2017-07-06,,,
2017-07-07,,,
2017-07-08,,,
2017-07-09,,,
