Month,Year,Day,Treatment Stage,Baffling Faetor,Disinfectant,Residual Cone.; mg/L,pH,Temp.1•Celsius,Peak Hourly Flow < GPM (-'MGO,"V(?lume,","Effective Volume, gallons","Caler:19""minutes·",tTracer studyT11h minutes (d availabl.e),"CT,Actual (eali:)","CT Required, Giardia.$",CT Requiredt Virus.4,Log Inactivation Giardia,Log Inactivation Viruses·,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,1,Ground Storage,0.3,Free Chlorine   ,4.07,8.58.,28.9,15.29,"1,500,000","450,000",42.4,0,172.49,68.59,1.46,7.54,472.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,2,Ground Storage,0.3,Free Chlorine   ,3.92,8.68,27.4,15.47,"1,500,000","450,000",41.9,0,164.2,78.11,1.62,6.31,405.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,3,Ground Storage,0.3,Free Chlorine   ,3.89,3.7,28.8,15.6,"1,500,000","450,000",41.5,0,161.58,71.26,1.47,6.8,439.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,4,Ground Storage,0.3,Free Chlorine   ,3.82,8.2,30,15.62,"1,500,000","450,000",41.5,0,158.47,54.55,1.35,8.72,468.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,5,Ground Storage,0.3,Free Chlorine   ,3.9,7.99,28.8,15.5,"1,500,000","450,000",41.8,0,163.05,55.22,1.47,8.86,443.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,6,Ground Storage,0.3,Free Chlorine   ,3.76,7.97,27.8,15.93,"1,500,000","450,000",40.7,0,152.95,58.11,1.58,7.9,388.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,7,Ground Storage,0.3,Free Chlorine   ,3.75,7.82,27.5,15.51,"1,500,000","450,000",41.8,0,157.67,56.07,1.61,8.38,389.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,8,Ground Storage,0.3,Free Chlorine   ,3.92,7.89,27.2,15.61,"1,500,000","450,000",41.5,0,152.73,59.55,1.64,8.2,396.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,9,Ground Storage,0.3,Free Chlorine   ,3.83,7.94,26.6,15.6,"1,500,000","450,000",41.5,0,159.09,62.8,1.71,7.6,371.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,10,Ground Storage,0.3,Free Chlorine   ,3.73,7.85,25.3,15.64,"1,500,000","450,000",41.4,0,154.54,65.93,1.87,7.03,330.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,11,Ground Storage,0.3,Free Chlorine   ,3.64,7.62,25,15.57,"1,500,000","450,000",41.6,0,151.49,61.28,1.91,7.42,316.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,12,Ground Storage,0.3,Free Chlorine   ,3.66,7.57,25,15.33,"1,500,000","450,000",42.3,0,154.71,60.23,1.91,7.71,323.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,13,Ground Storage,0.3,Free Chlorine   ,3.77,7.51,24.4,15.39,"1,500,000","450,000",42.1,0,158.74,61.96,1.99,7.69,318.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,14,Ground Storage,0.3,Free Chlorine   ,3.7,7.57,25.8,16.16,"1,500,000","450,000",40.1,0,148.37,57.18,1.81,7.78,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,15,Ground Storage,0.3,Free Chlorine   ,3.8,7.43,23.5,15.2,"1,500,000","450,000",42.6,0,162,64.15,2.12,7.58,305.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,16,Ground Storage,0.3,Free Chlorine   ,3.79,7.42,20.1,14.37,"1,500,000","450,000",45.1,0,170.91,80.81,2.69,6.34,254.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,17,Ground Storage,0.3,Free Chlorine   ,3.69,7.55,20.7,15.32,"1,500,000","450,000",42.3,0,156.08,80.74,2.58,5.8,242.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,18,Ground Storage,0.3,Free Chlorine   ,4.02,7.6,26.1,15.3,"1,500,000","450,000",42.4,0,170.26,58.18,1.77,8.79,384.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,19,Ground Storage,0.3,Free Chlorine   ,4.07,7.61,27.2,15.31,"1,500,000","450,000",42.3,0,172.26,54.33,1.64,9.51,419.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,20,Ground Storage,0.3,Free Chlorine   ,4.14,7.62,27,15.3,"1,500,000","450,000",42.4,0,175.34,55.61,1.66,9.46,421.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,21,Ground Storage,0.3,Free Chlorine   ,4.09,7.67,26.7,15.28,"1,500,000","450,000",42.4,0,173.45,57.61,1.7,9.03,408.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,22,Ground Storage,0.3,Free Chlorine   ,4.03,7.63,26,15.11,"1,500,000","450,000",42.9,0,172.83,59.29,1.78,8.74,387.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,23,Ground Storage,0.3,Free Chlorine   ,4.03,7.64,25.7,14.85,"1,500,000","450,000",43.6,0,175.85,60.76,1.82,8.68,386.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,24,Ground Storage,0.3,Free Chlorine   ,4.12,7.66,27.3,15.11,"1,500,000","450,000",42.9,0,176.69,55.19,1.63,9.6,433.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,25,Ground Storage,0.3,Free Chlorine   ,4.23,7.67,26.9,15.56,"1,500,000","450,000",33.1,0,140.13,56.45,1.68,7.32,334.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,26,Ground Storage,0.3,Free Chlorine   ,3.87,7.55,27.5,19.43,"1,500,000","450,000",33.4,0,129.07,51.18,1.61,7.57,321.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,27,Ground Storage,0.3,Free Chlorine   ,4.09,7.6,29.5,19.4,"1,500,000","450,000",33.4,0,136.61,46.23,1.4,8.87,390.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,28,Ground Storage,0.3,Free Chlorine   ,4.17,7.66,30,19.14,"1,500,000","450,000",33.9,0,141.18,45.95,1.35,9.22,417.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,29,Ground Storage,0.3,Free Chlorine   ,4.12,7.72.,29,19.22,"1,500,000","450,000",33.7,0,138.91,50.15,1.45,8.31,383.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,30,Ground Storage,0.3,Free Chlorine   ,4.05,7.72,28.6,19.41,"1,500,000","450,000",33.4,0,135.21,51.28,1.49,7.91,262.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2017,31,Ground Storage,0.3,Free Chlorine   ,4.14,7.72,29.3,19.44,"1,500,000","450,000",33.3,0,138,49.2,1.42,8.41,388.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,2017,1,Ground Storage,0.3,Free Chlorine   ,4.14,"7,72","27,1",19.45,"1,500,000","450,000","33,3",0,"137,93","57,30",1.651,7.221,333.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,2017,2,Ground Storage,0.3,Free Chlorine   ,4.05,"7,72",28.2,19.25,"1,500,000","450,000",33.7,,136.33,52.72,1.531,7.761,355.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,2017,3,Ground Storage,0.3,Free Chlorine   ,"4,07",7.681,28.6,19.2,"1,500.00","450,000",33.8,,137.36,50.61,1.4aj_,6.14,368.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,2017,4,Ground Storage,0.3,Free Chlorine   ,4.01,27.4,19.25,19.25,"1,500.00","450,000",33.7,,134.99,54.73,1.62,,333.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,2017,5,Ground Storage,0.3,Free Chlorine   ,4.1,7.651,28,19.12,"1,500.00","450,000",33.9,0,"138,95",52.3,1.5sj,7.971,357.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,2017,6,Ground Storage,0.3,Free Chlorine   ,4.1,7.651,28,19.12,"1,500.00","450,000",33.9,0,"138,95",52.3,1.651,7.971,357.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,2017,7,Ground Storage,0.3,Free Chlorine   ,3.67,7.09,27,18.97,"1,500.00","450,000",34.2,0,125.36,43.68,"1,661","8,611",301.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
